pet_id,date,activity_type,duration_minutes,issue,resolution,owner_id,owner_age_group,pet_type,year_month
9539,2023-08-19,Resting,52,"","",1495,56-65,Dog,2023-08
1370,2023-04-25,Resting,,"","",3138,18-25,Hamster,2023-04
6609,2022-11-05,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,8044,36-45,Cat,2022-11
4024,2023-08-11,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,4004,56-65,Dog,2023-08
9684,2023-10-25,Playing,,"","",560,18-25,Hamster,2023-10
3767,2023-09-27,Health,0,Annual Checkup,Diet adjustment recommended for weight management,3183,36-45,Dog,2023-09
4539,2022-11-19,Health,0,Annual Checkup,Diet adjustment recommended for weight management,4531,18-25,Dog,2022-11
5919,2022-07-15,Walking,,"","",8009,26-35,Fish,2022-07
2016,2023-10-03,Health,0,Dental Cleaning,"Cleaning done, no dental issues",6230,56-65,Dog,2023-10
9230,2022-10-22,Health,0,Injury,"Sprain identified, rest and limited movement advised",9136,46-55,Rabbit,2022-10
3484,2023-04-28,Health,0,Dental Cleaning,"Cleaning done, no dental issues",472,36-45,Hamster,2023-04
6602,2023-09-18,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",5361,18-25,Cat,2023-09
6332,2022-10-24,Walking,,"","",2456,26-35,Rabbit,2022-10
9407,2023-02-11,Resting,68,"","",9215,26-35,Hamster,2023-02
2492,2023-07-28,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",7325,46-55,Cat,2023-07
6816,2022-09-11,Health,0,Dental Cleaning,"Cleaning done, no dental issues",5909,26-35,Fish,2022-09
4480,2023-03-29,Resting,,"","",9044,46-55,Hamster,2023-03
9525,2022-08-14,Health,0,Annual Checkup,"All clear, healthy diet recommended",4975,18-25,Fish,2022-08
9539,2023-10-22,Walking,78,"","",1495,56-65,Dog,2023-10
4452,2022-04-01,Health,0,Annual Checkup,Diet adjustment recommended for weight management,5088,18-25,Cat,2022-04
2837,2023-08-05,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",9708,56-65,Fish,2023-08
